tweet_asli,tweet_after_prepros,sentiment
duet maut alasan menangisi akhir pekan. gajian masi lama plus timnas kalah.,duet maut alas tangis pekan gaji plus timnas kalah,Negatif
 selalu #makeyourmove timnas indonesia #timnasday yuk follow  dan ikutan giveawaynya :    sukses untuk kita semua. semoga rejeki. amin,timnas indonesia yuk follow ikut giveawaynya sukses moga rezeki amin,Positif
fans indo kadang gak ngotak rank 130 udah dianggepnya kek rank 10 besar anjir. timnas kita masih transisi ada pemain keturunan pun gak instan cokk,fan indonesia kadang ngotak rank 130 dianggepnya kayak rank 10 anjing timnas transisi main turun instan cokk,Negatif
pelatih jepang ini pinter banget ngomongnya ; bikin timnas indonesia terlenaa,latih jepang pintar banget omong bikin timnas indonesia terlenaa,Netral
 oke bagusin timnas doang kompetisi dan pembinaan jalan ditempat gada kemajuan.,oke bagusin timnas doang kompetisi bina jalan tempat maju,Netral
 menang kalah tetap support. kalah dr jepang itu wajar sama halnya kita kalah dr italia / spain. gada yg aneh dr kekalahan semalam . kesel kecewa wajar karna kita punya harapan besar pada timnas.,menang kalah support kalah jepang wajar hal kalah italia spain aneh kalah malam kesel kecewa wajar harap timnas,Negatif
 percuma bang dikasi tau fans fomo kontol ga bakal mau dengerin. maunya lngsung juara pildun wkwk itu pemain diaspora caps sm timnas aja under 10 kepengennya lngsung masuk pildun. ajg jugaa wkwk,abang kasi fan fomo kontol dengar mau langsung juara pildun wkwk main diaspora caps timnas under 10 ken langsung masuk pildun ajg wkwk,Netral
  tetap nonton timnas sampe skrg tapi ga pernah nonton liga indo yg sampah.,tonton timnas tonton liga indonesia sampah,Negatif
   indonesia adalah negara ranking buncit bersama kuwait yang lolos round 3 dan jadi satu-satunya yang harus berjuang dulu diround 1. mentalitas liga 1 tolong jangan dibawa keranah timnas apa itu? tak sadar diri dalam berespektasi. kita tuh medioker,indonesia negara ranking buncit kuwait lolos round 3 satusatunya juang diround 1 mentalitas liga 1 tolong bawa ranah timnas sadar berespektasi tuh medioker,Negatif
jerman spanyol aja dipantatin apalagi timnas kita https://t.co/zokd8mrsvg,jerman spanyol dipantatin timnas,Netral
pelatih jepang hajime moriyasu bicara soal timnas indonesia. menurutnya tim garuda pasti bisa ke piala dunia. https://t.co/bxg9zveav8,latih jepang hajime moriyasu bicara timnas indonesia turut tim garuda piala dunia,Negatif
sebenernya gua nih gak suka bola ya. cuma gua selalu dukung timnas banget. awalnya gua nonton bola tuh karena keluarga gua nobar bareng + makan makan. makanya kalau ada timnas gua selalu excited lebih mengarah makan makanya. baru lah gua nyari tau pemain keturunan gitu.,suka bola iya dukung timnas banget tonton bola tuh keluarga tonton bareng bareng makan makan timnas excited arah makan cari main turun,Negatif
 roadmap emng butuh istiqamah tapi sebagai fans apakah bisa istiqamah? seandainya naturalisasi gk terjadi pun tapi fans tetep aja ngarep juara aff lolos piala asia lolos round 3. jadi ya pssi pun mengikuti keinginan fans timnas saat ini.,roadmap butuh istikamah fan istikamah anda naturalisasi fan harap juara aff lolos piala asia lolos round 3 iya pssi ikut fan timnas,Negatif
 sebelumnya madrid kemarin timnas sekarang olla noo.. gws olla!,madrid kemarin timnas olla noo cepat sembuh olla,Positif
  yg ngasih statement kan sty. imho ga etis bgt sih ngasih statement begitu. mental pemain pasti kena. pelatih timnas yg lain kayanya ga pernah ngomong pemain a tidak cukup bagus untuk tim saya . karena kan dia yg manggil pemain itu berarti harusnya dia responsible atas hal tsb.,asih statement sty in my humble opinion etis banget sih asih statement mental main kena latih timnas kayak omong main a bagus tim manggil main responsible,Negatif
 ranking fifa timnas indonesia merosot usai dibantai jepang bisa di bawah malaysia https://t.co/yo2zqtjrtt,ranking fifa timnas indonesia merosot bantai jepang malaysia,Negatif
 terus ada yang ngomong pemain timnas indonesia itu pemain top eropa semua juga udah lucu bangfu ~,omong main timnas indonesia main top eropa lucu bangfu,Netral
  erick thohir arya ratu tisha dan yg lainnya udah jelasin berbuih buih pembinaan jangka panjang udah mulai jalan tp skalanya masih regional belum nasional. proyek naturalisasi ini mreka akui jk pendek krn siapa yg mau nunggu 20th sambil nontonin timnas lawan laos terus.,erick thohir arya ratu tisha jelasin buih buih bina jangka jalan skala regional nasional proyek naturalisasi aku pendek tunggu 20th nontonin timnas lawan laos,Positif
 don't lose hope guys tetep semangatin eliano ya.. semangatin untuk terus fight biar bisa dilirik coach buat jadi andalan timnas sandy aja bisa geser anak emas yg bahkan seorang kapten utama dulunya eli juga pasti bisa kok one day,dont lose hope teman semangatin eliano iya semangatin fight biar lirik coach andal timnas sandy geser anak emas kapten utama dulunya eli one day,Negatif
